ts	phase	decision	why	evidence	result
2026-09-05T22:26:08Z	ordered-core-diagnostic	Compare the same core tests with one test thread	Separate reproducible handler loss from failures that only appeared with concurrent test activity without changing their assertions	/tmp/myko-publication-core-serial-diagnostic.log; /tmp/myko-publication-observed-core.log	Serial214pass1knownlostdeletion versus parallel212pass3fail; window readiness and cascade checks remain unresolved in the parallel gate; no full-suite green claim
2026-09-05T22:26:53Z	ordered-review	Verify and reject the reviewer dependency-version flag	Review claimed Hyphae2.0.1; exact checkout lockfile, manifest, and resolved dependency tree agree on3.1.1	Cargo.lock:3902; Cargo.toml:132; cargo tree -p myko-federation --locked -i hyphae --depth 0; /home/trevor/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/hyphae-3.1.1/src/scheduler.rs:62	Existing3.1.1 scheduler citation is correct; no dependency change; other reviewer flags about native migration and parallel tests remain valid
2026-09-05T22:49:33Z	native-handoff-design	Use listener-first map wakeups to capture ordered complete snapshots	Exact Hyphae public diff cell subscribes before seed; ignoring raw diff payloads avoids replaying stale diffs against a newer snapshot	libs/myko/core/src/server/native_map.rs; libs/myko/federation/src/reactive.rs; docs/retained-freshness-synthesis.md	gpt-5.5 accepts bounded handoff repair only; no scoped completeness or atomic durable-cut claim; native query/view factories now share weakly cached output owners
2026-09-05T22:49:33Z	native-handoff	Replace native map diff forwarding with ordered snapshot delivery	Deletion during Initial delivery previously happened before live listener installation and was lost	/tmp/myko-handler-handoff-verified-red.log; /tmp/myko-native-map-handoff-green.log; libs/myko/core/src/server/client_session.rs; libs/myko/core/src/application.rs	Original lost-deletion assertion now passes on production path;2focused tests pass; asynchronous consumer tests wait for actualframes; reportpath and durablefreshness unmigrated
2026-09-05T22:49:33Z	core-observation-review	Correct worker wait placement and preserve full state assertions	Artifact review found initial readiness wait in the neighboring test instead of assigned windowed test	/tmp/myko-observation-parent-core.log; libs/myko/core/src/client/query_map.rs; libs/myko/core/src/server/relationship_manager.rs	Misplaced6lines removed and bounded helper placed in exactwindowed test covering every asserted projection; initial workerexact filters ran0 and are not evidence; broad rerun pending
2026-09-05T22:49:33Z	native-cache	Share active native map outputs through existing weak query/view caches	Per-client publication owners duplicate the graph; strong cache ownership would prevent last-client cleanup	libs/myko/core/src/server/context.rs; libs/myko/core/src/server/native_map.rs	Cache holds weakoutput; native session task owns strongoutput and abortsondrop; added concurrentreuse, lastownerrelease and failedgatecleanup tests; verification pending
2026-09-05T23:00:29Z	native-cache	Separated output lifetime from registry-root lifetime and used the entity type constant in the fixture	GetAllClients returns the registry root; the root survives by design while a derived map must expire with its last output owner	libs/myko/macros/src/item.rs:120; libs/myko/core/src/server/context.rs; /tmp/myko-native-map-ownership-fixed.log; /tmp/myko-native-cache-identity.log	Five focused tests passed; root identity test then passed after replacing the guessed entity name with ENTITY_NAME_STATIC; broad verification running
2026-09-05T23:02:09Z	native-handoff-verified	Verified native snapshot handoff and cache lifetime on the production path	Listener-first snapshots remove initial deletion loss without replaying old diffs; separate ownership assertions preserve registry-owned roots	/tmp/myko-native-handoff-core-federation.log; /tmp/myko-native-handoff-clippy.log; libs/myko/core/src/server/native_map.rs	Core 221 and federation 136 library tests pass; strict all-target Clippy passes; reports and durable readiness remain open; earlier intermittent failures are not declared solved
2026-09-05T23:02:41Z	mobile-consumer	Retained the failing deleted-agent roster assertion after the native handoff fix	Direct reconstructed history is empty but the newly subscribed roster still includes the deleted agent; native handoff alone is insufficient	/tmp/forrest-native-handoff-lifecycle.log; /home/trevor/Code/forrest/crates/forrest-mobile-core/src/lib.rs:3210	Focused real mobile lifecycle test fails; C17 and C18 remain open; tracing in-process retained view next
2026-09-05T23:04:48Z	mobile-path	Confirmed mobile uses the local native handler transport, not watch_view_live	The client returns the initial HandlerState; listener-first delivery cannot prove the retained source consumed a newer durable deletion	crates/forrest-mobile-core/src/lib.rs:1021; /home/trevor/Code/myko-7/libs/myko/core/src/application.rs:674; /home/trevor/Code/myko-7/libs/myko/core/src/server/federated_source.rs:101; /tmp/forrest-native-handoff-lifecycle.log	Supersedes in-process-view hypothesis; next unit needs source/output history evidence before Current; no mobile polling workaround
2026-09-05T23:04:48Z	review	Accepted the native handoff repair after fresh gpt-5.5 review	Reviewer inspected corrected fixture, current source, and terminal core/federation and Clippy logs	docs/retained-freshness-synthesis.md; /tmp/myko-native-handoff-core-federation.log; /tmp/myko-native-handoff-clippy.log	Bounded acceptance only; reports, durable completeness, terminal task cleanup, and mobile roster freshness remain open
2026-09-05T23:20:12Z	source-evidence	Expose fixed-cut history with opaque pending evidence rather than treating causal_snapshot as complete	The retained roster needs the rows and local completeness assessment from the same cut; future requested cuts must not certify unseen events	libs/myko/federation/src/selected.rs; /tmp/myko-selected-snapshot-complete-tests.log	Three focused tests pass for exact/subtree pending history, foreign-origin pending items, immutable earlier cuts, and rejection of cuts beyond the journal head
2026-09-05T23:20:12Z	source-publication	Make immutable sourced snapshots the producer output and derive old row maps from them	Rows-only sources discard history evidence before view registration; callback-held sequence locks also risk reentrant deadlocks	libs/myko/core/src/server/federated_source.rs; /tmp/myko-sourced-canonical-green.log	Five focused source tests pass before final setup-order edit; moved fallible subscription before spawned tasks; broad verification pending; raw handlers still discard evidence
2026-09-05T23:23:50Z	output-boundary	Add explicit local-plan and retained-publication output conversions before migrating view registration	A raw MapQuery return type discards publication evidence; the retained branch must erase item types without erasing sequence, cut, or liveness	libs/myko/core/src/core/view/output.rs; /tmp/myko-snapshot-foundation-core-federation.log	New conversion tests pass in core226; federation139 passes; ViewHandler and ViewCellFactory still use the old raw-map contract; this module is not yet the production registration path
2026-09-05T23:27:56Z	source-foundation-verified	Verified fixed-cut sourced publications and explicit output conversion types	Native source and conversion behavior must pass before changing the view factory contract	/tmp/myko-snapshot-foundation-core-federation.log; /tmp/myko-snapshot-foundation-clippy-final.log; /tmp/myko-snapshot-foundation-format-final.log	Core226 and federation139 tests pass; strict all-target core/federation Clippy and scoped formatting pass; registration and roster migration still required
2026-09-05T23:27:56Z	wasm-check	Recorded the failed wasm build without calling native verification a cross-platform pass	A worker checked the target after gating new retained output types; the whole crate still reports unresolved native-only imports and types	/tmp/myko-view-output-wasm-check.log	NOT VERIFIED:44 compile errors; no baseline comparison established; no wasm compatibility claim
2026-09-05T23:27:56Z	review	Accepted the source-foundation shape after gpt-5.5 review and cleared the remaining test-helper Clippy errors	Review separates fixed-cut source evidence from unimplemented downstream freshness and per-open target enforcement	/tmp/myko-snapshot-foundation-clippy-final.log; docs/retained-freshness-synthesis.md	Bounded source/conversion acceptance; stale reviewer by-value and duplicate-return findings rejected against current source; all C01-C18 remain open
2026-09-05T23:42:33Z	view-cutover	Preserve retained publications through registration and native cache; explicitly reject raw-map conversion	Roster must retain payload, cut, and liveness as one publication; fresh opens capture a local target cut	view/output.rs; view/registration.rs; server/context.rs; server/client_session.rs; Forrest agent.rs	Caller migration staged; native and lifecycle verification pending; C01-C18 remain Open
2026-09-05T23:42:34Z	caller-migration	Use explicit-file codemod for LocalView wrappers; migrate return-containing closures by hand	Prevent accidental semantic changes while forcing explicit output policy	scripts/migrate_view_outputs.py; scripts/test_migrate_view_outputs.py; 4 unittest tests pass; Myko post-write dry-run emits no changes	12 Myko and 21 Forrest local/retained view implementations migrated; build reports handled using existing validated_projection boundary; no new lint allowances
2026-09-05T23:43:46Z	roster-proof	Keep original mobile lifecycle assertions and timeout; test retained roster through native transport	A direct history read alone did not prove fresh client subscription behavior	/tmp/forrest-retained-roster-lifecycle3.log: 1 pass; /tmp/myko-retained-cut-test2.log: target-cut pass; Cargo.lock Myko Hyphae3.1.1 Forrest3.1.2	Deleted-agent fresh roster now passes; broader gates and independent review pending; no continuity row closed
2026-09-05T23:46:08Z	retained-review	Accept native retained-view slice after gpt-5.5 exact-source review; retain scope limits	Registration and native cache preserve publication evidence; raw API rejection is explicit	freshness_cross_judge current review; /tmp/myko-retained-cutover-lib-tests.log 227 pass 1 query-empty failure; workspace running	No material native cutover finding; brace warning fixed; source cache remains strong; reports and raw views lack retained freshness; all C rows Open
2026-09-05T23:49:25Z	query-observation	Wait for exact bucket cardinality before original empty/repopulate assertions	Broad run observed 1 row immediately after deletion; callback settlement can be deferred	/tmp/myko-retained-cutover-lib-tests.log 227 pass 1 fail; core/query/registration.rs diff; worker focused session91557 cancelled while waiting for locks, exit130 no tests ran	Test-only bounded observation change staged; no green verification claim; production index unchanged
2026-09-05T23:51:18Z	retained-clippy	Verify strict core and federation all-target Clippy	Explicit output API and forced caller migration must satisfy strict crate checks	/tmp/myko-retained-cutover-clippy.log terminal0; /tmp/forrest-retained-cutover-fmt-check.log terminal0	Strict Myko Clippy and Forrest formatting pass; Myko library rerun and Forrest workspace tests still running
2026-09-05T23:55:28Z	retained-library-verified	Verify native retained view and query observation changes together in parallel library suite	Focused roster and transport results need a broader consumer gate	/tmp/myko-retained-cutover-lib-tests2.log terminal0: 228 core and 139 federation pass; query empty/repopulate passes; /tmp/myko-retained-cutover-fmt-check.log terminal0	Library rerun green; final Clippy and Forrest workspace pending; failing rejected prototype integration remains explicit; no C row closed
2026-09-05T23:58:28Z	roster-tool-caller	Migrate synchronous roster tool off raw-map view API	Forrest workspace exposed retained-to-local rejection in messaging::roster_page after native roster cutover	/tmp/forrest-retained-cutover-workspace.log terminal101: mobile10pass, node7pass1fail; /tmp/myko-retained-cutover-clippy-final.log terminal0	No lossy fallback allowed; comparing same-cut synchronous sourced snapshot read with typed retained API; no implementation yet
2026-09-06T00:00:24Z	roster-tool-design	Use a synchronous same-cut sourced snapshot for the synchronous roster tool	Tool::execute cannot await a retained stream; a raw map would discard evidence	scope_design_judge agrees; ApplicationHost::snapshot_items_across_sources_selected reuses SelectedHistorySnapshot and selected_snapshot_state; AgentRosterEntry From shared by tool and view	No live source opened; tool rejects nonCurrent or absent payload; original tool test and new immediate create/delete test running
2026-09-06T00:02:23Z	roster-tool-verified	Verify synchronous same-cut roster tool and shared entry projection	Fix real raw-view caller without weakening retained conversion rejection	/tmp/forrest-roster-tool-tests.log terminal0 3 tests; /tmp/myko-application-selected-snapshot-test.log terminal0 1 test	Immediate create/delete tool read passes; public snapshot exposes pending dependencies and opens no livecache; broad final reruns pending
2026-09-06T00:04:49Z	snapshot-review	Accept bounded synchronous roster followup after gpt-5.5 review	Tool reads same fixedcut evaluator and shared roster conversion, without raw fallback or cache	freshness_cross_judge exactsource review; /tmp/myko-roster-snapshot-clippy.log terminal0; /tmp/myko-roster-snapshot-lib-tests.log 228corepass1ping-observationfail	Snapshot regression passed; broad gate remains red on immediate ping state assertion under investigation; Forrest workspace still running; no C row closed
2026-09-06T00:09:14Z	verification-handoff	Keep current verification processes live; do not treat build locks as failure	Forrest broad rerun and strict gate must finish; ping test observation followup still under focused verification	Forrest workspace2 session81713 running; Forrest clippy session62574 queued; Myko ping focused worker session47327; /tmp/myko-roster-snapshot-lib-tests.log latest broad core228pass1fail	Native and synchronous roster focused proofs green and reviewed; current full gates not green; no commit/push/Mac sync; all C rows Open
2026-09-06T00:20:47Z	handoff-harness-correction	Separate serving endpoint from immutable event-origin filter in the C01/C02 baseline	Old harness expected A-origin history from a C-origin-only query; independent audit confirms it did not prove a serving failure	scope_design_judge current review; node/lib.rs watch_items_reactive_in delegates watch_items_in(source_node); client follow_query previously forced Some(origin)	Typed query origin now optional; six source-pinned local callers migrated explicitly; corrected native endpoint/reopen test running; custody and C01 remain Open
2026-09-06T00:23:08Z	roster-broad-gates	Complete Forrest workspace and strict Clippy verification for the roster cutover	Retained view migration must preserve all Forrest consumers	/tmp/forrest-retained-cutover-workspace2.log terminal0; /tmp/forrest-retained-cutover-clippy2.log terminal0; /tmp/myko-roster-dispatch-lib-tests.log terminal0 229core139fed	Forrest gates green after replacing new Result-test panics with equivalent error checks; exact final messaging rerun running; custody and continuity remain unproved
2026-09-06T00:28:43Z	endpoint-continuity-baseline	Verify corrected logical-scope endpoint and persisted reopen baseline	Origin filters must preserve A provenance while C serves and changes the scope	/tmp/myko-scope-endpoint-continuity4.log terminal0 1 test; prior runs captured fixture trait/parameter mismatches, fixed without relaxing server validation	C serves through Iroh after A/B stop; C-origin causally linked fixture commit survives reopen; reader stores neither command; custody remains unproved
2026-09-06T00:44:02Z	endpoint-command-verified	Verified remote replacement-node command and persisted typed result	A fixture-injected update was weaker than executing the registered command against replicated state	/tmp/myko-scope-command-continuity-verified.log; /tmp/myko-optional-origin-local-tests.log; /tmp/myko-scope-origin-clippy-final.log	Original handles67598 and61670 terminal0; native test1pass local11pass strict four-crate all-target command passes; gpt-5.5 bounded review accepted; custody and all C rows remain Open
2026-09-06T00:51:00Z	custody-contract	Reject origin maxima and permission expiry as history coverage	Sparse origins can hide missing events; expiry cannot discharge earlier accepted unseen history	docs/scope-custody-contract.md; current gpt-5.5 custody review	Reviewed contract recorded; exact-set storage precondition selected; signing and control-decision protocol remain design gates
2026-09-06T00:51:00Z	retained-history-inclusion	Verify exact immutable bodies against durable journals and native replacement history	Current rows and origin maxima cannot prove accepted history survived transfer and restart	history.rs EventJournal::verify_retained_history; /tmp/myko-redb-retained-history-final.log; /tmp/myko-scope-exact-history-test.log; /tmp/myko-exact-history-federation-tests.log; /tmp/myko-retained-history-clippy-final.log; /tmp/myko-scope-exact-history-clippy.log	Redb focused1 and native1 pass; federation139 pass; strict affectedcrate gates pass; gpt-5.5 bounded review accepted; supplied-set inclusion only, complete obligation derivation and all C rows remain Open
2026-09-06T00:51:18Z	retained-history-storage-gates	Complete Redb library and scoped formatting gates	The new default journal verifier must preserve existing storage behavior	/tmp/myko-retained-history-redb-all.log; cargo fmt -p myko-federation -p myko-redb -p myko-node -- --check	Redb library terminal0; scoped formatting terminal0; custody remains unimplemented
2026-09-06T01:09:56Z	selected-manifest	Derive frozen retained history in Myko instead of a caller filter	Custody prerequisites must retain complete local event bodies and reject unresolved or cross-boundary obligations	selected.rs retained_manifest; causal.rs effective_causal_parents; federation/tests/selected_manifest.rs; /tmp/myko-selected-manifest-exact-set.log; /tmp/myko-scope-manifest-native-final.log	7manifest tests and native continuity pass; full pre/postdelete eventset equality verified; no authority change; localfixedcut only, custody and all C rows Open
2026-09-06T01:09:56Z	selected-manifest-gates	Verify shared dependency extraction and current Forrest consumers	The author-predecessor helper is used beyond the new manifest	/tmp/myko-selected-manifest-federation-lib.log; /tmp/myko-scope-manifest-node-clippy-final.log; /tmp/forrest-scope-manifest-workspace.log; /tmp/forrest-scope-manifest-clippy.log	Original handles55374,75809,47639,72674 terminal0; federation139pass; Forrest workspace and strict gates pass; first Clippy visibility failure fixed without allowance; final addedtest Clippy running handle32248
2026-09-06T01:11:35Z	selected-manifest-final-checks	Complete final added-test strict gate and separate formatting checks	A passing later shell command must not mask an earlier formatting failure	/tmp/myko-selected-manifest-exact-clippy.log; separate cargo fmt checks in Myko and Forrest; git diff --check	Handle32248 terminal0; each final formatting command terminal0 after newtest formatted; no live build handles; full custody still unimplemented
2026-09-06T01:12:51Z	selected-manifest-review	Accept bounded manifest unit after independent final review	The storage precondition needs verified selection and dependency closure without becoming a custody claim	gpt-5.5 final current-source/log review; docs/scope-custody-contract.md; selected-manifest verification logs	No material blocker for local fixedcut manifests; signing, framework control events, safe departure, and all C rows remain Open
2026-09-06T01:39:32Z	signed-statement	Bind canonical retained history to holder, incarnation, obligation, and explicit Ed25519 v1 envelope	Exact immutable content must survive observer relocation; signed data belongs in federation rather than Iroh	libs/myko/federation/src/commitment.rs; libs/myko/federation/src/attestation.rs; libs/myko/federation/src/signed_statement.rs; libs/myko/iroh/src/attestation.rs; /tmp/myko-retained-versioned-signature-tests.log; /tmp/myko-retained-statement-library-tests.log; /tmp/myko-retained-versioned-statement-clippy.log	VERIFIED 9 integration, 139 federation, 31 Iroh; strict Clippy green; gpt-5.5 accepted; issuance and all C01-C18 remain Open
2026-09-06T01:52:20Z	framework-control	Persist framework statements in existing history and explicitly migrate command consumers	Custody evidence must survive replay without becoming executable application work or inventing topology	libs/myko/federation/src/control.rs; libs/myko/federation/src/history.rs; libs/myko/federation/src/memory.rs; libs/myko/federation/src/node.rs; libs/myko/redb/tests/control_history.rs; /tmp/myko-framework-control-redb-tests2.log	3 Redb tests passed before final idempotent retry assertion; full final gates pending; not custody issuance
2026-09-06T01:52:23Z	framework-control	Add live delivery after durable append and reuse the original record on exact retries	Review found append_locked does not broadcast; crash-boundary retries must not append duplicate assertions	libs/myko/federation/tests/control_recording.rs; /tmp/myko-control-broadcast-red.log; /tmp/myko-control-broadcast-final.log; /tmp/myko-control-broadcast-clippy-final.log	VERIFIED 3 tests and strict targeted Clippy; injected append failure leaves state and subscriptions unchanged
2026-09-06T02:01:43Z	framework-control-redb	Verify exact control record recovery and retry identity after real Redb reopen	A mock journal cannot establish physical restart recovery	libs/myko/redb/tests/control_history.rs; /tmp/myko-framework-control-redb-final.log	VERIFIED original handle99009 terminal0; 3 tests passed including post-reopen retry; broader gates remain live
2026-09-06T02:04:24Z	control-selection	Preserve a requested subtree when its full grant passes authorization; retain exact narrowing for exact-only grants	Flattening all subtree requests to exact roots discarded authorized subtree control records; weakening control filtering would leak them	libs/myko/authority/src/policy.rs; libs/myko/authority/src/tests.rs; /tmp/myko-control-subtree-authority-red.log; /tmp/myko-control-subtree-authority-green.log	VERIFIED 17 authority tests terminal0 including broad-versus-exact and one-use grant consumption
2026-09-06T02:04:25Z	framework-control-consumers	Verify affected Myko crates and the complete Forrest test workspace after control-event migration	New event variants and optional command extraction must not break downstream clients or execution	/tmp/myko-framework-control-libraries.log; /tmp/myko-framework-control-consumers-final-clippy.log; /tmp/forrest-framework-control-workspace.log	VERIFIED 6-crate library run and strict alltargets Clippy terminal0; Forrest workspace handle7821 terminal0; final native integration, core added tests, and Forrest Clippy still live
2026-09-06T02:11:19Z	native-control-gates	Retain the pairing timeout failure and verify both exact continuity and the full durable-node file independently	A passing isolated rerun does not erase a loaded-suite failure or prove its cause	/tmp/myko-framework-control-history-and-native.log; /tmp/myko-framework-control-native-exact.log; /tmp/myko-framework-control-durable-node-rerun.log	Original combined handle65504 terminal101 at pairing report2s deadline; exact continuity4644 terminal0; full durable_node16027 terminal0 15tests; scheduling explanation remains inference
2026-09-06T02:11:20Z	control-session	Exercise exact-scope filtering through the real session stream and preserve imported local-position semantics in the fixture	Subtree statements must advance the cursor without disclosure; exact statements must retain all immutable bytes	libs/myko/core/src/server/federated_session.rs; /tmp/myko-control-follow-session-final.log; /tmp/myko-control-follow-session-final2.log	First actual run failed fixture localposition1 versus imported3; corrected expected position from IngestStatus; exact16157 terminal0 1test; indexedaccess removed; no production semantic weakening
2026-09-06T02:17:30Z	retained-production-proof	Prove registered retained-view cache and session coherence before reframing the rejected split-cell experiment	A green primitive experiment cannot substitute for the real registered application handler path	libs/myko/core/src/server/federated_source.rs; libs/myko/core/tests/retained_publication_proof.rs; /tmp/myko-retained-prototype-current-red.log; /tmp/myko-registered-retained-view-chain-green.log; /tmp/myko-framework-control-core-and-publication-final.log	gpt-5.5 approved reframing after production proof; final17583 terminal0 231core plus4experiments; parent strengthened full row payload, deletion and metadata-only assertions; no production fallback claim beyond tested path
2026-09-06T02:17:30Z	final-control-checks	Finish strict core checks and separate formatting gates without new lint allowances	Added tests must meet the same maintainability gates; full envelope equality is stronger and shorter than separate count/origin assertions	/tmp/myko-framework-control-core-final-clippy.log; /tmp/myko-framework-control-core-final-clippy3.log; /tmp/myko-framework-control-handoff-fmt.log; /tmp/forrest-framework-control-handoff-fmt.log; /tmp/forrest-framework-control-clippy.log	Earlier indexing and103line fixture failures corrected; final23649 terminal0; both fmt commands terminal0; Forrest strict43754 terminal0; all C01-C18 Open; no commit,push,Mac sync,or production daemon launch
2026-09-06T02:26:59Z	storage-incarnation	Bind locally recorded retained statements to the journal incarnation	A caller-chosen store ID cannot establish which durable store retained the manifest; the regression accepted a wrong ID before the guard	/tmp/myko-storage-incarnation-red.log; /tmp/myko-storage-incarnation-recording-green.log; libs/myko/federation/tests/control_recording.rs	VERIFIED wrong-ID regression fails before guard and all four recording tests pass after; Redb metadata and review still pending
2026-09-06T02:29:34Z	storage-incarnation	Preserve failed validation runs and strengthen corruption checks before accepting the Redb unit	Strict Clippy rejected Result-returning test assertions; Redb test compilation exposed a missing metadata trait and count-only history comparison was too weak	/tmp/myko-storage-incarnation-federation-clippy.log; /tmp/myko-storage-incarnation-federation-fmt.log; /tmp/myko-storage-incarnation-durable-tests.log	NOT VERIFIED durable unit yet; federation test assertions now return errors without lint allowances; exact-history corruption checks requested
2026-09-06T02:31:36Z	retained-verification	Reject conflicting duplicate origins in durable replay before comparing a required manifest	Independent review identified that collecting replay into a map silently discarded an earlier conflicting body; a focused test reproduced false success	/tmp/myko-retained-conflicting-replay-red.log; /tmp/myko-retained-conflicting-replay-green.log; libs/myko/federation/src/history.rs	VERIFIED regression fails before fix and five recording/verifier tests pass after; equal immutable duplicates still represent the same retained event
2026-09-06T02:34:50Z	storage-incarnation	Persist store identities and refuse bootstrap over orphaned durable state	Stable identity must survive reopen without inventing continuity after metadata loss; independent review added checkpoint and origin table coverage	libs/myko/redb/src/lib.rs; libs/myko/redb/tests/control_history.rs; /tmp/myko-storage-incarnation-final-tests.log; /tmp/myko-storage-incarnation-corrupt-identities-final.log; /tmp/myko-redb-storage-incarnation-clippy2.log	VERIFIED federation139 library plus19 integration and Redb15 library plus4 integration; additional malformed-node case passes; Redb strict passes after fixing unused import and single_match_else; final combined strict and native tests remain live
2026-09-06T02:35:12Z	storage-incarnation-final	Verify native replacement after binding statement recording to durable store identity	The adapter change must preserve real persisted Iroh transfer and restart behavior; identity matching alone is not custody or rollback detection	/tmp/myko-storage-incarnation-native-continuity.log; /tmp/myko-storage-incarnation-final-clippy.log; /tmp/myko-storage-incarnation-final-fmt.log; docs/scope-continuity-plan.md	VERIFIED native71042 terminal0 and strict77408 terminal0; scopedfmt and diffcheck pass; no live verification handles; no fresh Forrest full gates this increment; all C01-C18 Open; no commit,push,Mac sync,or production daemon launch
2026-09-06T02:39:20Z	storage-incarnation-review	Accept the independently reviewed store-binding checkpoint and clarify validation timing	Explicit gpt-5.5 trail audit matched the red and green logs but noted the first checkpoint paragraph could imply a fresh Forrest run	docs/scope-continuity-plan.md; docs/scope-custody-contract.md; /tmp/myko-storage-incarnation-final-tests.log; /tmp/myko-storage-incarnation-final-clippy.log; /tmp/myko-storage-incarnation-native-continuity.log	VERIFIED bounded unit; first paragraph now labels prior framework-control gates; custody issuance, authorization, retirement, safe departure and C01-C18 remain open
2026-09-06T02:48:16Z	custody-issuance-design	Compare two concrete issuance designs before adding custody semantics to stored assertions	Current authority is local-origin-only and grant consumption can commit before a separate effect; naive policy wrapping would preserve a permanent authority endpoint or invent atomicity	docs/custody-issuance-grounding.md; libs/myko/authority/src/policy.rs; libs/myko/federation/src/node.rs	Grounding complete; gpt-5.6-sol and gpt-5.5 candidates running; configured gpt-5.4 unavailable and gpt-5.6-luna spawn hit thread limit; no new receipt authority claimed
2026-09-06T02:52:52Z	custody-authority-baseline	Encode the existing foreign-authority trust boundary in a real Redb restart test	Custody must introduce validated portable authority rather than silently promote raw retained grants; a local positive control distinguishes denial from unavailable policy state	libs/myko/authority/src/tests.rs; /tmp/myko-custody-foreign-authority-baseline.log; /tmp/myko-custody-foreign-authority-baseline-final.log; /tmp/myko-custody-foreign-authority-baseline-clippy.log	VERIFIED source authorizes own grant, target retains exact foreign history after source closes and target reopens, local grant permits and foreign grant denies grant_coverage; initial fixture expected wrong denial code, corrected from actual evaluator; strict terminal0
2026-09-06T03:07:24Z	custody-issuance-synthesis	Use certified authority history as the direction but reject permanent one-vote coordination	Three healthy controllers can split irrevocable votes with no majority; the cross-judge accepted the counterexample and corrected its coordination score	docs/custody-issuance-candidate-a.md; docs/custody-issuance-candidate-b.md; docs/custody-issuance-synthesis.md; /tmp/myko-custody-authority-baseline-suite.log	A conceptualbase with B issuerfacade and explicitack; neither approved aswritten; majority prepare/accept recovery and certified epoch fencing required before issuance; authority18tests and strict pass; no production custody yet
2026-09-06T03:24:46Z	control-quorum-boundary	Implement signed majority verification before wiring durable control votes	Raw imported votes must not choose their own electorate, context, phase, or recovered value; controller records must append without awaiting the consensus they create	libs/myko/federation/src/control_quorum.rs; libs/myko/federation/tests/control_quorum.rs; docs/custody-issuance-synthesis.md; /tmp/myko-control-quorum-tests.log	Initial 10 tests passed; explicit independently trusted configuration required; no durable voting, authority projection, or custody claim
2026-09-06T03:24:47Z	control-quorum-prepared-path	Require chosen verification through its verified prepare token and original electorate	Review proposed stronger API enforcement than accept signatures alone; crash-fault Paxos assumes honest acceptors, but this API also rejects a prepared X followed by accepts for Y	/tmp/myko-control-quorum-prepared-path-red.log; /tmp/myko-control-quorum-prepared-path-green.log; libs/myko/federation/src/control_quorum.rs	Regression failed before API change with chosen verification ignored the prepared recovery value; all 12 focused tests passed after; durable acceptor enforcement still required
2026-09-06T03:24:47Z	control-quorum-verification	Accept the certificate-only subunit after full federation tests and strict checks	The boundary is executable, but cannot substitute for persistent control voting or close an end-to-end continuity requirement	/tmp/myko-control-quorum-federation-final.log; /tmp/myko-control-quorum-clippy.log; /tmp/myko-control-quorum-prepared-clippy.log; /tmp/myko-control-quorum-fmt-check.log	VERIFIED 139 library and 31 integration tests; strict all-target Clippy terminal0 after correcting initial codec visibility lint without allowance; fmt and diff check pass; C01-C18 open, no commit push Mac sync or daemon launch
2026-09-06T03:26:04Z	control-quorum-review	Accept independent review of the certificate boundary and its evidence trail	The reviewer checked current private-token APIs and terminal logs rather than treating signed evidence as durable custody	libs/myko/federation/src/control_quorum.rs; docs/custody-issuance-synthesis.md; /tmp/myko-control-quorum-federation-final.log; /tmp/myko-control-quorum-prepared-clippy.log	Explicit gpt-5.5 review approved bounded unit with no actionable blocker; authenticated durable voting, restart recovery, epoch fencing and all C01-C18 remain open
2026-09-06T03:50:45Z	durable-control-voter	Persist sealed controller requests as framework votes in the existing journal	Promises and accepts must survive restart without becoming application commands or requiring fake custody obligations	libs/myko/federation/src/control_quorum/voter.rs; libs/myko/federation/src/memory.rs; libs/myko/federation/src/control.rs; /tmp/myko-durable-voter-check.log; /tmp/myko-durable-voter-check2.log	Durable acceptor implemented; signature-verified replay ignores untrusted origin wrappers; initial NodeError Clone/Eq integration failed and was corrected with cloneable typed protocol errors; no proposer or epoch activation yet
2026-09-06T03:50:45Z	durable-voter-legal-recovery	Retain legal accepts by controllers outside the prepare majority	Reviewer proposed same-ballot prior-promise guard; Lamport P1a permits an accept unless a higher promise prevents it, and accept append persists the implicit promise	https://lamport.azurewebsites.net/pubs/paxos-simple.pdf; libs/myko/redb/tests/control_votes.rs; /tmp/myko-redb-control-votes-final.log	Reviewer withdrew incorrect blocker; A/B prepare then A/C accept survives C reopen; minority test strengthened from request construction to completed chosen recovery and reopen; nine real Redb tests pass
2026-09-06T03:50:46Z	durable-voter-ambiguous-commit	Fail closed before signing when durable journal and live cache disagree	An append can commit yet return an error; replaying only cached events then allowed a lower ballot to be signed	/tmp/myko-durable-voter-ambiguous-red.log; /tmp/myko-durable-voter-ambiguous-green.log; libs/myko/federation/tests/control_recording.rs	Regression genuinely failed with lower vote from stale memory; authoritative journal comparison now returns DurableHistoryChanged, reopen recovers original promise, known pre-append failures remain retryable; no online reconciliation claim
